=== Debug Logger Session Started at 2026-09-15T14:26:50.709 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-15T14:26:50.606] [SYSTEM] BAUD_RATE_SET 2000000 baud (preferences/default)

=== Session ended - Download Started at 2026-09-15T14:26:50.833 ===
=== Debug Logger Session Started at 2026-09-15T14:26:50.837 ===
PNut-Term-TS: v1.0.8
Program: debug
=====================================

[2026-09-15T14:26:50.833] [SYSTEM] [DOWNLOAD TO RAM] File: test_bench_dual.bin | Size: 54742 bytes | Modified: 2026-09-15T20:26:49.825Z
[2026-09-15T14:26:50.836] [SYSTEM] Download Session Started
[2026-09-15T14:26:52.287] [SYSTEM] [DOWNLOAD SUCCESS] test_bench_dual.bin successfully downloaded to RAM
[2026-09-15T14:26:52.302] Cog0  INIT $0000_0000 $0000_0000 load
[2026-09-15T14:26:52.302] Cog0  INIT $0000_0FA8 $0003_389C jump
[2026-09-15T14:26:52.302] Cog1  INIT $0000_0FA8 $0003_2308 jump
[2026-09-15T14:26:52.302] Cog0  BM-WDSTART,seq,1,started,TRUE,cog,1
[2026-09-15T14:26:52.304] Cog0  BM-BANNER,seq,2,src_rev,7,fmt,1,part,FLOOR,cfg_id,BENCH,frame,MOTOR,clkfreq,270_000_000,left_base,32,right_base,16,voltage_enum,6,det_mode,30,motor_type,0,quiet,TRUE,mdbg,3,sdbg,3
[2026-09-15T14:26:52.304] Cog0  BM-BUILD,seq,3,sf,1,inst_hz,500,inst_ticks,540_000,ring,4_096,slongs,9,waitms_max,7_953,wd_stall_ms,4_000,abs_abort_mV,1_500,ladder_max,165_000_000,rwire_mohm,20,pack_mV,18_500,fault_cool_ms,5_000
[2026-09-15T14:26:52.305] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-NOSTALL-F,task,3508
[2026-09-15T14:26:52.306] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-DBGMASK-F,task,3508
[2026-09-15T14:26:52.307] Cog0  SIGNOFF-DECL,sf,1,bin,DUAL,cell,R14-DUAL-FLOORANS-F,task,3508
[2026-09-15T14:26:52.307] Cog0  BM-PLAN,seq,4,seg,FLOOR,order,1,attended,TRUE,part,FLOOR,finds,S-9a,est_s,180,est_kb,1_180
[2026-09-15T14:26:52.308] Cog0  * PANIC PROCEDURE IS PHYSICAL BATTERY DISCONNECT ONLY -- emergencyCutoff() self-cancels in about 250 ms (finding S-4)
[2026-09-15T14:26:52.314] Cog2  INIT $0000_0FA8 $0003_044C jump
[2026-09-15T14:26:52.315] Cog0  BM-INST,seq,5,event,START,cog,2,state,IDLE,ack_ms,5,samples,0,late,0,skipped,0,max_late_us,0,clamps,0,why,NONE
[2026-09-15T14:26:52.315] Cog0  BM-SEG,seq,6,seg,FLOOR,event,BEGIN,attended,TRUE,items,0,faults,0,unrecov,0,ms,0,why,NONE
[2026-09-15T14:26:52.391] `PLOT bmpanel TITLE 'Motion harness operator panel' SIZE 480 260 POS 60 80 HIDEXY UPDATE<CR><LF>`bmpanel cartesian 1<CR><LF>`bmpanel LAYER 1 'bm_bg.bmp'<CR><LF>`bmpanel LAYER 2 'bm_prompt.bmp'<CR><LF>`bmpanel LAYER 3 'bm_state.bmp'<CR><LF>`bmpanel LAYER 4 'bm_buttons.bmp'<CR><LF>`bmpanel LAYER 5 'bm_digits.bmp'<CR><LF>`bmpanel crop 1<CR><LF>`bmpanel update<CR><LF>`bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 200, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 200, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 200, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 40, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 0, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>
[2026-09-15T14:26:52.680] `bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.250] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.328] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.412] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 140, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.493] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.572] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.652] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.734] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.814] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.894] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:55.975] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.053] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.133] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.215] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.294] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.374] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.460] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 120, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.540] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.620] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.699] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.779] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.859] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:56.939] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.021] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.099] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.178] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.258] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.424] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>`bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 100, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.503] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.584] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.665] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.744] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.826] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.904] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:57.987] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.064] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.145] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.225] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.307] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.384] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.469] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 80, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.550] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.630] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.709] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.791] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.869] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:58.950] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.030] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.110] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.194] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.270] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.350] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.436] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 60, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.514] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.595] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.675] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.756] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.836] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.917] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:26:59.995] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.076] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.154] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.235] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.316] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.395] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.479] `bmpanel crop 2 0, 228, 456, 76, 12, 34<CR><LF>`bmpanel crop 3 0, 0, 300, 32, 12, 116<CR><LF>`bmpanel crop 4 0, 0, 108, 36, 12, 156<CR><LF>`bmpanel crop 1 128, 156, 108, 36<CR><LF>`bmpanel crop 1 244, 156, 108, 36<CR><LF>`bmpanel crop 1 12, 198, 108, 36<CR><LF>`bmpanel crop 1 128, 198, 108, 36<CR><LF>`bmpanel crop 1 244, 198, 108, 36<CR><LF>`bmpanel crop 1 360, 198, 108, 36<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 404, 116<CR><LF>`bmpanel crop 5 20, 0, 20, 32, 424, 116<CR><LF>`bmpanel crop 5 40, 0, 20, 32, 444, 116<CR><LF>`bmpanel update<CR><LF>`bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.560] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.640] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.723] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
[2026-09-15T14:27:00.802] `bmpanel PC_KEY<CR><LF>`bmpanel PC_MOUSE<CR><LF>
